Date,A,B,C,D,E,F,G,H,I
Apr-97,7.4,64.7,121.8,0.4,46.6,16.4,0,3.1,30
May-97,0.1,12.3,35.4,0.1,7.2,3.5,0.9,0.2,7.1
Jun-97,0.1,3.1,14.2,0.1,0.7,0,0.2,0.9,0.3
Jul-97,0,1.2,4.7,0.1,0.5,0,1.5,0.4,0.3
Aug-97,0,0.5,7.3,0.7,0.3,24.4,2.6,29.6,48.6
Sep-97,0.2,8,45.3,0.7,8.8,11.7,6.4,24.4,45.3
Oct-97,0.8,4.8,64.3,0.4,15.9,14.2,1.5,2.1,16.1
Nov-97,3.9,27.7,121.2,0.5,71.3,29,1.7,4.2,44
Dec-97,48.3,287.9,229,5.7,125.8,101,5.3,41.7,88.5
Jan-98,287,574.7,172,12,164.9,191.5,10.4,150.9,197.4
Feb-98,295.3,645.3,317.4,17.8,187.4,149.1,3.2,76.5,117
Mar-98,298.9,711.8,352,11.1,193.3,145.8,5.2,44.9,94.8
Apr-98,23.8,297.9,284.2,0,50.7,33.5,0.5,3.1,15.3
May-98,3.4,57.7,96.7,0.1,5.4,0,0,0.4,0
Jun-98,4.3,1.1,13.3,0.4,1.3,5,0.1,3.7,4.1
Jul-98,0,0.3,3.9,0.5,0,0,0.2,0.4,0
Aug-98,0,0.2,10.1,1.2,0.4,2.6,0.7,0.2,1.8
Sep-98,0.4,1.2,26.3,0.4,6.5,5.8,0.4,0.8,0.3
Oct-98,0.4,3.7,73.6,0.1,32.8,13.2,0.2,1.3,12.7
Nov-98,0.3,0.1,43.8,0.1,9.9,19.4,0.4,15.7,47
Dec-98,0.3,2.3,60.8,0.7,29.3,45.2,1,55.4,97
Jan-99,2.5,12.7,129.3,2.7,69.1,74.8,0.9,67,117.3
Feb-99,55.1,204.3,403.2,13.4,195.7,248,11.3,216.5,235.6
Mar-99,4.6,74.7,289.2,2.5,63.1,110.7,5.2,132.3,207.8
Apr-99,10.8,86.9,122.8,0.2,49.2,58.9,0,10.8,73.2
May-99,3.4,23.1,119.5,0.3,22.9,13.3,0,0.2,2.1
Jun-99,1.7,1.8,46.3,0.4,2.5,1.1,0.1,0,2.7
Jul-99,0.2,0.2,13.9,0.4,1.8,1.5,0,0,2.8
Aug-99,0,0,6.4,0.3,0,1,0.1,0,1.5
